Sex,Age group,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20
Both sexes,15 years and over,"17,540.00","17,582.00","17,574.00","17,697.90","18,110.50","18,314.60","18,240.30","18,228.80","18,068.70","18,094.30","17,993.20","17,915.00","17,661.90","17,697.10","17,726.60","17,824.20","18,258.70","18,410.60","18,301.60","18,296.60","18,212.10","18,256.70","18,179.70","18,133.00","17,956.10","17,992.80","18,018.30","18,097.00","18,575.00","18,769.30","18,698.80","18,675.20","18,524.80","18,562.00","18,567.10","18,560.40","18,231.30","18,273.60","18,317.40","18,417.70","18,785.10","18,978.80","18,933.90","18,839.10","18,753.90","18,771.20","18,820.10","18,768.30","18,569.80","18,662.00","18,664.70","18,852.40","19,237.90","19,392.90","19,283.80","19,317.90","19,248.80","19,238.80","19,103.30","19,096.40","18,838.60","18,917.10"
Both sexes,15 to 24 years,"2,318.60","2,324.00","2,329.60","2,335.70","2,560.80","2,676.30","2,816.50","2,778.40","2,387.90","2,405.20","2,367.80","2,358.40","2,271.30","2,267.80","2,280.20","2,287.70","2,504.80","2,618.00","2,733.40","2,709.20","2,350.60","2,392.30","2,362.00","2,371.60","2,277.30","2,276.40","2,285.70","2,292.60","2,564.90","2,662.90","2,819.80","2,733.90","2,357.60","2,401.20","2,417.80","2,410.00","2,293.70","2,288.80","2,322.50","2,311.80","2,538.10","2,652.60","2,813.80","2,758.10","2,363.90","2,357.30","2,361.60","2,340.70","2,300.50","2,336.20","2,354.30","2,405.70","2,601.90","2,708.10","2,849.30","2,845.30","2,447.50","2,461.10","2,444.90","2,446.00","2,359.50","2,398.10"
Both sexes,25 years and over,"15,221.30","15,258.00","15,244.40","15,362.30","15,549.60","15,638.30","15,423.70","15,450.40","15,680.80","15,689.10","15,625.40","15,556.60","15,390.60","15,429.30","15,446.40","15,536.50","15,753.90","15,792.60","15,568.20","15,587.40","15,861.50","15,864.40","15,817.80","15,761.50","15,678.80","15,716.40","15,732.60","15,804.40","16,010.20","16,106.40","15,879.00","15,941.30","16,167.10","16,160.80","16,149.30","16,150.40","15,937.70","15,984.80","15,994.90","16,105.90","16,246.90","16,326.20","16,120.20","16,081.00","16,389.90","16,413.90","16,458.50","16,427.60","16,269.30","16,325.80","16,310.40","16,446.60","16,636.00","16,684.80","16,434.50","16,472.60","16,801.40","16,777.70","16,658.50","16,650.40","16,479.00","16,519.00"
Both sexes,25 to 44 years,"7,627.20","7,618.30","7,590.80","7,667.10","7,775.20","7,806.50","7,716.80","7,733.50","7,807.30","7,791.80","7,797.40","7,788.60","7,690.90","7,658.10","7,705.30","7,762.00","7,872.00","7,897.40","7,825.50","7,837.60","7,938.00","7,949.90","7,943.20","7,935.10","7,911.80","7,931.00","7,957.50","7,981.80","8,086.30","8,115.20","7,999.60","7,997.40","8,062.90","8,076.60","8,082.90","8,093.10","8,012.90","8,039.80","8,068.50","8,138.10","8,221.20","8,288.30","8,209.90","8,199.10","8,325.30","8,333.00","8,372.50","8,349.30","8,268.10","8,295.60","8,254.00","8,327.40","8,421.50","8,452.90","8,334.00","8,351.30","8,504.40","8,522.40","8,490.80","8,498.80","8,419.80","8,438.60"
Both sexes,45 to 64 years,"6,908.30","6,960.30","6,985.50","7,009.60","7,082.70","7,131.80","7,026.20","7,018.80","7,147.50","7,129.50","7,076.10","7,028.60","6,972.30","7,020.80","7,003.10","7,054.90","7,155.40","7,149.90","6,998.90","7,011.70","7,151.40","7,148.30","7,109.90","7,054.80","7,015.10","7,015.10","7,014.50","7,054.60","7,138.80","7,194.60","7,081.80","7,137.70","7,261.50","7,251.30","7,239.50","7,225.50","7,084.20","7,119.40","7,110.10","7,137.10","7,186.40","7,210.60","7,110.70","7,109.90","7,252.90","7,259.90","7,253.70","7,227.60","7,120.30","7,132.70","7,145.90","7,206.70","7,302.30","7,330.70","7,229.10","7,222.20","7,379.00","7,308.80","7,257.40","7,219.70","7,141.20","7,166.50"
Both sexes,45 years and over,"7,594.20","7,639.70","7,653.70","7,695.10","7,774.40","7,831.80","7,706.90","7,717.00","7,873.60","7,897.30","7,828.00","7,768.00","7,699.70","7,771.10","7,741.10","7,774.50","7,881.90","7,895.10","7,742.60","7,749.80","7,923.50","7,914.50","7,874.60","7,826.40","7,767.00","7,785.40","7,775.10","7,822.60","7,923.80","7,991.20","7,879.40","7,943.80","8,104.20","8,084.20","8,066.40","8,057.20","7,924.80","7,945.00","7,926.50","7,967.80","8,025.70","8,037.90","7,910.30","7,881.90","8,064.70","8,081.00","8,086.00","8,078.30","8,001.20","8,030.20","8,056.40","8,119.20","8,214.50","8,231.90","8,100.50","8,121.30","8,297.00","8,255.30","8,167.60","8,151.60","8,059.30","8,080.40"
Both sexes,25 to 54 years,"11,747.40","11,745.80","11,720.60","11,804.50","11,941.50","11,992.90","11,865.00","11,860.60","12,006.00","11,969.60","11,944.40","11,871.80","11,751.30","11,742.90","11,768.40","11,855.80","11,986.20","12,016.50","11,861.30","11,858.70","12,003.90","12,005.80","12,006.70","11,967.90","11,919.20","11,913.00","11,956.50","11,994.90","12,149.60","12,202.20","12,033.00","12,042.70","12,159.30","12,163.60","12,152.00","12,134.70","11,994.20","12,030.40","12,044.20","12,141.70","12,216.30","12,278.00","12,145.90","12,132.60","12,325.50","12,335.30","12,370.40","12,339.40","12,232.00","12,264.50","12,225.70","12,317.80","12,464.30","12,480.30","12,320.00","12,328.60","12,561.10","12,501.90","12,445.80","12,443.40","12,317.90","12,344.90"
Both sexes,55 years and over,"3,473.90","3,512.20","3,523.80","3,557.80","3,608.20","3,645.40","3,558.70","3,589.90","3,674.90","3,719.50","3,681.00","3,684.80","3,639.30","3,686.40","3,678.00","3,680.70","3,767.70","3,776.10","3,706.90","3,728.60","3,857.60","3,858.70","3,811.00","3,793.60","3,759.60","3,803.50","3,776.10","3,809.50","3,860.60","3,904.20","3,846.00","3,898.50","4,007.80","3,997.30","3,997.40","4,015.70","3,943.50","3,954.40","3,950.70","3,964.20","4,030.70","4,048.20","3,974.30","3,948.40","4,064.40","4,078.70","4,088.10","4,088.20","4,037.30","4,061.30","4,084.70","4,128.80","4,171.60","4,204.40","4,114.60","4,144.00","4,240.30","4,275.80","4,212.70","4,207.00","4,161.20","4,174.10"
Both sexes,15 to 64 years,"16,854.10","16,902.60","16,905.80","17,012.40","17,418.80","17,614.60","17,559.50","17,530.60","17,342.60","17,326.50","17,241.30","17,175.60","16,934.50","16,946.70","16,988.60","17,104.60","17,532.20","17,665.30","17,557.90","17,558.50","17,440.10","17,490.50","17,415.00","17,361.50","17,204.20","17,222.50","17,257.70","17,329.00","17,790.00","17,972.70","17,901.20","17,869.00","17,682.00","17,729.10","17,740.20","17,728.70","17,390.70","17,448.10","17,501.10","17,587.00","17,945.80","18,151.60","18,134.40","18,067.00","17,942.20","17,950.20","17,987.80","17,917.60","17,689.00","17,764.50","17,754.20","17,939.80","18,325.70","18,491.70","18,412.40","18,418.80","18,330.80","18,292.30","18,193.10","18,164.50","17,920.50","18,003.20"
Both sexes,15 to 19 years,769.2,781.8,763.4,750.2,848.4,896.2,"1,002.60",984.6,805.3,808.4,786.4,776.9,757,752.9,757.3,741.2,837.6,878.4,979.1,954.3,741.4,756.7,760.2,758.7,739.3,733.1,740,750.8,856,892.6,"1,027.60",978,775.4,789.6,793.1,819.7,763.1,762.6,770.4,773.3,867.9,902.2,"1,026.60",982.1,788.5,777.3,785.6,798.8,791.7,802.7,783.1,802.7,857.7,912.4,"1,055.90","1,038.90",816.8,814.5,791.8,811.1,778.6,790.8
