North American Industry Classification System (NAICS)3,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20
"Total, all industries 5","17,540.00","17,582.00","17,574.00","17,697.90","18,110.50","18,314.60","18,240.30","18,228.80","18,068.70","18,094.30","17,993.20","17,915.00","17,661.90","17,697.10","17,726.60","17,824.20","18,258.70","18,410.60","18,301.60","18,296.60","18,212.10","18,256.70","18,179.70","18,133.00","17,956.10","17,992.80","18,018.30","18,097.00","18,575.00","18,769.30","18,698.80","18,675.20","18,524.80","18,562.00","18,567.10","18,560.40","18,231.30","18,273.60","18,317.40","18,417.70","18,785.10","18,978.80","18,933.90","18,839.10","18,753.90","18,771.20","18,820.10","18,768.30","18,569.80","18,662.00","18,664.70","18,852.40","19,237.90","19,392.90","19,283.80","19,317.90","19,248.80","19,238.80","19,103.30","19,096.40","18,838.60","18,917.10"
Goods-producing sector 6,"3,726.20","3,691.60","3,669.70","3,741.40","3,912.50","4,001.80","4,031.90","4,047.10","3,965.80","3,922.00","3,906.90","3,828.40","3,687.90","3,723.50","3,679.60","3,707.80","3,893.40","3,917.80","3,965.20","3,982.00","3,923.70","3,913.90","3,838.00","3,763.30","3,659.10","3,650.00","3,663.20","3,722.60","3,913.90","3,990.70","4,048.10","4,040.30","3,973.50","3,987.50","3,966.10","3,896.50","3,768.70","3,762.20","3,778.40","3,812.70","3,951.30","4,061.80","4,061.40","4,044.20","4,019.90","3,987.60","3,972.60","3,920.50","3,767.20","3,781.20","3,786.90","3,868.80","4,029.80","4,068.70","4,108.10","4,119.90","4,068.40","4,013.40","3,951.70","3,902.30","3,799.80","3,810.00"
Agriculture 7,279.2,280.2,278.3,289.1,303.9,300.2,311,311.3,307.8,301,295.3,282,262.1,271.1,277.1,278.6,306.6,301.3,318.2,314.6,301.3,289.8,281.7,268.4,263.3,261.2,258,270.3,288.9,298.2,300.3,302.5,290.1,289.2,271.6,260.5,254.8,250.3,261.6,276.9,293.5,287.6,294,288.9,290.7,281.3,278.3,268.2,252.1,256.9,261.7,283.5,304.1,302.4,306.3,308.8,303.5,303.6,291.6,277.1,277.9,274.6
"Forestry, fishing, mining, quarrying, oil and gas 8 9",356.8,341.5,339.6,339.6,357.1,374.3,370.5,374.3,361.2,349.1,346.8,347.9,343.2,332.9,326.8,315.2,320.9,327.4,322.1,328.6,323.9,330.9,326.3,323.1,326.4,320.8,315.4,311,329.3,335.7,344.6,337.3,332.8,333,331.1,338,331.5,334.2,331.1,322,335.2,359.3,354.7,351.5,345.5,338.6,338.1,346,336.9,346.1,340.8,326.9,340.9,345.7,337,335.6,326.2,324,314.7,315.3,308.6,310.5
Forestry and logging and support activities for forestry,48,44.7,43.1,41,48.8,53.1,54.1,55.7,52.7,48.2,50.3,50.5,48,46.3,40.7,37.6,43.9,52.1,55.4,51.9,49.6,52,50.6,49.2,48.3,44.6,43.4,37.5,38.8,48.8,55,53,51.9,51,53.8,51.9,49.9,51.8,49.5,45.5,47,55.4,57.5,59.9,57,51.7,47.9,50.4,47.9,48.2,50.3,46.5,48.7,55.2,49.2,48.9,43.1,42.3,42.4,43.3,38,42.5
"Fishing, hunting and trapping",13.9,12.8,13.1,15.1,23.4,23.1,18.7,18.8,16,12,9.9,12.8,13.8,12.3,12.7,16,23.2,21.1,14.3,15.4,14.6,12.5,10.7,11.9,12.8,14.8,13.5,17.1,28.7,26.3,22.4,16.2,16,13.5,11.8,13.5,12.7,11.7,11.8,16.8,25.7,25.6,17.2,15.2,17.8,13.9,12.2,16.5,16,14.7,13.9,16,25.8,24.2,15.3,16,15.6,14.7,13.9,16.8,17.1,15.6
"Mining, quarrying, and oil and gas extraction 8",294.8,284,283.4,283.5,284.9,298.2,297.7,299.8,292.6,288.8,286.7,284.6,281.5,274.3,273.5,261.7,253.8,254.2,252.4,261.3,259.6,266.4,265,262,265.3,261.4,258.6,256.3,261.8,260.6,267.2,268.1,264.8,268.5,265.5,272.5,269,270.8,269.7,259.7,262.5,278.3,280,276.5,270.7,272.9,278.1,279.2,273,283.2,276.6,264.4,266.4,266.4,272.5,270.7,267.5,267,258.4,255.2,253.5,252.4
Utilities,137,135.5,133.2,135,140.5,140.8,144.6,142.8,136.6,133.2,132.2,132.3,133.4,136,137.3,136.7,140.1,139.7,139.3,138.3,135.9,134.3,136.5,139.2,135.9,135.9,132.6,130.7,133.9,136.8,136.9,134.2,129.8,130.8,126.9,127.2,130.6,134.5,136.7,140.6,146.1,148.7,151.5,153.6,150,149.6,150.1,145.2,140,140.3,140.4,142.3,145.5,145.4,140.4,139.7,136.8,133.3,133.4,132.2,132.4,137.3
Construction,"1,283.40","1,278.60","1,260.20","1,298.30","1,373.90","1,439.00","1,454.30","1,460.80","1,442.10","1,419.80","1,402.60","1,341.40","1,259.90","1,285.90","1,276.10","1,313.30","1,421.10","1,436.90","1,459.30","1,468.60","1,454.50","1,463.30","1,417.80","1,363.40","1,298.30","1,287.80","1,294.10","1,328.30","1,418.20","1,459.40","1,483.00","1,490.10","1,476.70","1,487.30","1,472.50","1,416.30","1,327.10","1,331.70","1,349.50","1,363.00","1,436.50","1,501.60","1,499.90","1,499.70","1,513.10","1,502.40","1,495.30","1,430.20","1,338.20","1,338.60","1,343.10","1,396.00","1,466.40","1,503.80","1,546.60","1,551.70","1,554.80","1,533.20","1,512.20","1,472.50","1,389.30","1,385.50"
Manufacturing,"1,669.80","1,655.90","1,658.50","1,679.40","1,737.10","1,747.50","1,751.60","1,757.90","1,718.00","1,718.90","1,730.00","1,724.90","1,689.30","1,697.50","1,662.30","1,664.00","1,704.60","1,712.70","1,726.40","1,732.00","1,708.10","1,695.50","1,675.80","1,669.10","1,635.20","1,644.20","1,663.00","1,682.30","1,743.70","1,760.50","1,783.20","1,776.10","1,744.00","1,747.20","1,764.00","1,754.60","1,724.70","1,711.50","1,699.60","1,710.20","1,739.90","1,764.60","1,761.30","1,750.50","1,720.60","1,715.80","1,710.80","1,730.90","1,699.90","1,699.50","1,700.80","1,720.10","1,772.90","1,771.40","1,777.80","1,784.10","1,747.00","1,719.20","1,699.70","1,705.20","1,691.50","1,702.10"
